ctry_yr,ccode,country,year,us_nukes,rus_nukes,uk_nukes,us_vis,uk_vis,fra_vis,rus_vis,chi_vis,us_econaid,us_bit,uk_bit,fra_bit,chi_bit,rus_bit,us_pact,uk_pact,fra_pact,rus_pact,chi_pact,us_words,us_ex,uk_ex,fra_ex,rus_ex,chi_ex,us_arms,uk_arms,fra_arms,rus_arms,chi_arms,us_troops,uk_troops,fra_troops,rus_troops,chi_troops,log_chi_arms,log_rus_arms,log_fra_arms,log_uk_arms,log_us_arms,log_us_words,log_us_econaid,log_us_troops,log_uk_troops,log_rus_troops,log_fra_troops,log_chi_troops,yr1950,yr1951,yr1952,yr1953,yr1954,yr1955,yr1956,yr1957,yr1958,yr1959,yr1960,yr1961,yr1962,yr1963,yr1964,yr1965,yr1966,yr1967,yr1968,yr1969,yr1970,yr1971,yr1972,yr1973,yr1974,yr1975,yr1976,yr1977,yr1978,yr1979,yr1980,yr1981,yr1982,yr1983,yr1984,yr1985,yr1986,yr1987,yr1988,yr1989,yr1990,yr1991,yr1992,yr1993,yr1994,yr1995,yr1996,yr1997,yr1998,yr1999,yr2000,yr2001,yr2002,yr2003,yr2004,yr2005,yr2006,yr2007,yr2008,yr2009,yr2010,yr2011,yr2012
Canada1960,20,Canada,1960,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,21,0,0,0,0,0,160,0,5,0,0,0,0,0,0,0,0,0,0.7781513,0,2.206826,1.342423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1961,20,Canada,1961,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,62,0,0,0,0,0,1571,0,5,0,0,0,0,0,0,0,0,0,0.7781513,0,3.196453,1.799341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1962,20,Canada,1962,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,22,0,0,0,0,0,1194,33,5,0,0,0,0,0,0,0,0,0,0.7781513,1.531479,3.077368,1.361728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1963,20,Canada,1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,34,0,0,0,0,0,912,95,5,0,0,0,0,0,0,0,0,0,0.7781513,1.982271,2.960471,1.544068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1964,20,Canada,1964,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,62,0,0,0,0,0,675,50,4,0,0,0,0,0,0,0,0,0,0.69897,1.70757,2.829947,1.799341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1965,20,Canada,1965,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,19,0,0,0,0,0,451,75,1,0,0,0,0,0,0,0,0,0,0.30103,1.880814,2.655138,1.30103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1966,20,Canada,1966,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,20,0,0,0,0,0,273,0,0,0,0,0,0,0,0,0,0,0,0,0,2.437751,1.322219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1967,20,Canada,1967,1,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,22,0,0,0,0,0,104,75,64,0,0,0,0,0,0,0,0,0,1.812913,1.880814,2.021189,1.361728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1968,20,Canada,1968,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,8,0,0,0,0,0,249,75,0,0,0,0,0,0,0,0,0,0,0,1.880814,2.39794,0.9542425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1969,20,Canada,1969,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,17,0,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,0,2.686636,1.255273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1970,20,Canada,1970,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,2,0,0,0,0,0,611,0,0,0,0,0,0,0,0,0,0,0,0,0,2.786752,0.4771213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1971,20,Canada,1971,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,6,0,0,0,0,0,455,0,0,0,0,0,0,0,0,0,0,0,0,0,2.658965,0.845098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1972,20,Canada,1972,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,55,0,0,0,0,0,309,15,0,0,0,0,0,0,0,0,0,0,0,1.20412,2.491362,1.748188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1973,20,Canada,1973,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,26,0,0,0,0,0,56,5,0,0,0,0,0,0,0,0,0,0,0,0.7781513,1.755875,1.431364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1974,20,Canada,1974,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10,0,0,0,0,0,196,0,0,0,0,0,0,0,0,0,0,0,0,0,2.294466,1.041393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1975,20,Canada,1975,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,15,1,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,2.350248,1.20412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1976,20,Canada,1976,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,19,0,0,0,0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,1.20412,1.146128,1.30103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1977,20,Canada,1977,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,72,1,1,1,0,0,13,15,0,0,0,0,0,0,0,0,0,0,0,1.20412,1.146128,1.863323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1978,20,Canada,1978,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,30,1,1,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,1.146128,1.491362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1979,20,Canada,1979,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,47,1,1,1,0,0,35,25,0,0,0,0,0,0,0,0,0,0,0,1.414973,1.556303,1.681241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1980,20,Canada,1980,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,38,1,1,1,0,0,383,25,0,0,0,0,0,0,0,0,0,0,0,1.414973,2.584331,1.591065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1981,20,Canada,1981,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,95,1,1,1,0,0,395,25,0,0,0,0,0,0,0,0,0,0,0,1.414973,2.597695,1.982271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1982,20,Canada,1982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,31,1,1,0,0,0,220,24,0,0,0,0,0,0,0,0,0,0,0,1.39794,2.344392,1.50515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1983,20,Canada,1983,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,10,1,1,1,0,0,646,2,0,0,0,0,0,0,0,0,0,0,0,0.4771213,2.810904,1.041393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1984,20,Canada,1984,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,203,1,1,0,0,0,646,0,0,0,0,0,0,0,0,0,0,0,0,0,2.810904,2.30963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1985,20,Canada,1985,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,134,1,1,1,0,0,847,0,0,0,0,0,0,0,0,0,0,0,0,0,2.928396,2.130334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1986,20,Canada,1986,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,60,1,1,1,0,0,809,0,0,0,0,0,100,0,0,0,0,0,0,0,2.908485,1.78533,0,0,2.004321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1987,20,Canada,1987,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,1,1,0,0,100,1,1,0,0,0,764,0,0,0,0,0,1,0,0,0,0,0,0,0,2.883662,2.004321,0,0,0.30103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1988,20,Canada,1988,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,155,1,1,0,0,0,655,30,0,0,0,0,0,0,0,0,0,0,0,1.491362,2.816904,2.193125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1989,20,Canada,1989,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,85,1,1,1,0,0,12,30,0,0,0,0,0,0,0,0,0,0,0,1.491362,1.113943,1.934498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1990,20,Canada,1990,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,54,1,1,1,0,0,19,10,0,0,0,0,0,0,0,0,0,0,0,1.041393,1.30103,1.740363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1991,20,Canada,1991,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,63,1,1,0,0,0,425,94,0,0,0,0,0,0,0,0,0,0,0,1.977724,2.62941,1.80618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1992,20,Canada,1992,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,1,0,0,67,1,1,1,0,0,121,53,4,0,0,0,0,0,0,0,0,0,0.69897,1.732394,2.08636,1.832509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1993,20,Canada,1993,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,118,0,0,0,0,0,117,2,8,0,0,0,200,0,0,0,0,0,0.9542425,0.4771213,2.071882,2.075547,0,0,2.303196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1994,20,Canada,1994,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,41,1,1,1,1,0,317,0,25,0,0,0,100,0,0,0,0,0,1.414973,0,2.502427,1.623249,0,0,2.004321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1995,20,Canada,1995,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,94,0,0,0,0,0,328,25,22,0,0,0,100,0,0,0,0,0,1.361728,1.414973,2.517196,1.977724,0,0,2.004321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1996,20,Canada,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,18,1,1,1,1,0,316,25,23,0,0,0,150,0,0,0,0,0,1.380211,1.414973,2.501059,1.278754,0,0,2.178977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1997,20,Canada,1997,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,86,1,1,1,0,0,261,26,21,0,0,0,250,0,0,0,0,0,1.342423,1.431364,2.418301,1.939519,0,0,2.399674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1998,20,Canada,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,42,1,1,1,0,0,66,0,6,0,0,0,250,0,0,0,0,0,0.845098,0,1.826075,1.633469,0,0,2.399674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada1999,20,Canada,1999,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,81,1,0,0,0,0,104,0,17,0,0,0,200,0,0,0,0,0,1.255273,0,2.021189,1.913814,0,0,2.303196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Canada2000,20,Canada,2000,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,13,1,1,0,1,0,160,320,0,0,0,0,343,0,0,0,0,0,0,2.506505,2.206826,1.146128,0,0,2.536558,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
