country,2000,2000,2000,2001,2001,2001,2002,2002,2002,2003,2003,2003,2004,2004,2004,2005,2005,2005,2006,2006,2006,2007,2007,2007,2008,2008,2008,2009,2009,2009,2010,2010,2010,2011,2011,2011,2012,2012,2012,2013,2013,2013,2014,2014,2014,2015,2015,2015,2016,2016,2016,2017,2017,2017,2018,2018,2018,2019,2019,2019
Argentina,$0 ,"$79,572,041 ",$0 ,$0 ,"$297,864,176 ","$26,601,000 ",$0 ,"$49,467,852 ","$8,243,000 ",$0 ,"$24,581,129 ","$4,620,000 ",$0 ,"$36,788,442 ","$3,900,000 ",$0 ,"$39,403,814 ","$4,099,000 ",$0 ,"$80,155,894 ","$6,055,000 ",$0 ,"$141,450,999 ","$8,984,500 ",$0 ,"$186,510,279 ","$38,359,000 ",$0 ,"$113,952,566 ","$17,422,244 ",$0 ,"$121,046,311 ","$33,522,162 ","$166,000,000 ","$102,169,008 ","$27,424,111 ",$0 ,"$169,670,296 ","$34,275,651 ",$0 ,"$61,310,786 ","$44,286,196 ",$0 ,"$151,849,510 ","$32,467,092 ","$157,500,000 ","$148,290,231 ","$100,596,713 ","$300,000,000 ","$128,084,793 ","$44,236,883 ","$1,161,300 ","$8,918,049 ","$31,415,335 ",$0 ,"$19,455,927 ","$1,342,227 ","$78,032,000 ","$6,593,591 ",$0 
Armenia,,,,,,,,,,$0 ,"$6,968,000 ",$0 ,$0 ,"$2,328,974 ","$8,857,000 ",$0 ,"$5,879 ","$84,000 ",$0 ,"$3,710,921 ","$1,065,000 ",$0 ,"$6,792,268 ","$3,098,000 ",$0 ,"$7,646,000 ","$6,812,000 ",$0 ,"$4,017,580 ","$5,526,000 ",$0 ,"$2,350,949 ","$1,671,480 ",$0 ,"$1,684,504 ","$2,046,104 ",$0 ,"$5,648,318 ","$1,915,000 ",$0 ,"$3,609,000 ","$5,128,000 ",$0 ,"$4,066,000 ","$711,000 ",$0 ,"$2,144,913 ","$3,978,777 ",$0 ,"$2,054,000 ","$1,527,000 ",$0 ,"$1,725,489 ","$3,767,489 ",,,,$0 ,"$3,614,563 ",$0 
Aruba,$0 ,"$53,762 ",$0 ,$0 ,"$48,588 ",$0 ,$0 ,"$170,252 ",$0 ,$0 ,"$179,422 ",$0 ,$0 ,"$50,448 ",$0 ,$0 ,"$70,008 ",$0 ,$0 ,"$33,132 ",$0 ,$0 ,"$63,602 ",$0 ,$0 ,"$15,103 ","$64,000 ",$0 ,"$112,050 ","$103,268 ",$0 ,"$68,060 ","$7,700 ",$0 ,"$157,827 ","$51,971 ",$0 ,"$14,115 ","$5,518 ",$0 ,"$93,680 ",$0 ,$0 ,"$100,956 ","$96,665 ",$0 ,"$95,078 ","$85,897 ",$0 ,"$71,095 ","$64,561 ",$0 ,$600 ,$0 ,$0 ,"$45,490 ",$0 ,$0 ,"$544,877 ",$0 
Australia,$0 ,"$2,820,609,644 ","$921,500 ",$0 ,"$4,236,338,456 ","$312,905,180 ",$0 ,"$3,397,023,337 ","$215,849,000 ",$0 ,"$2,237,880,649 ","$208,102,942 ",$0 ,"$2,036,269,092 ","$193,149,400 ",$0 ,"$2,827,604,129 ","$349,798,960 ",$0 ,"$5,499,154,970 ","$350,104,000 ",$0 ,"$4,997,652,663 ","$750,817,000 ","$3,056,000,000 ","$3,194,424,541 ","$1,512,543,000 ","$860,000,000 ","$8,067,580,150 ","$613,599,980 ","$2,533,000,000 ","$9,032,809,575 ","$1,029,450,416 ","$3,352,000,000 ","$15,412,623,573 ","$1,308,277,164 ","$1,700,000,000 ","$7,809,594,243 ","$854,707,525 ","$3,837,000,000 ","$3,832,772,272 ","$732,246,564 ","$2,219,000,000 ","$2,578,498,200 ","$931,648,409 ","$2,415,439,881 ","$4,867,403,803 ","$2,667,391,364 ","$2,175,792,735 ","$2,819,243,248 ","$1,311,690,281 ","$3,440,700,000 ","$2,004,321,046 ","$1,367,750,163 ","$586,301,278 ","$2,193,838,978 ","$139,346,539 ","$487,016,877 ","$2,433,905,788 ",$0 
Austria,$0 ,"$30,411,344 ",$0 ,$0 ,"$447,176,770 ","$4,513,000 ",$0 ,"$21,840,181 ","$6,992,000 ",$0 ,"$59,783,856 ","$8,096,000 ",$0 ,"$44,660,181 ","$7,442,000 ",$0 ,"$41,996,435 ","$2,036,000 ",$0 ,"$54,246,943 ","$1,539,000 ",$0 ,"$38,294,730 ","$2,090,000 ",$0 ,"$78,012,972 ","$17,680,000 ",$0 ,"$142,046,510 ","$3,762,946 ",$0 ,"$35,381,422 ","$7,482,769 ",$0 ,"$41,883,217 ","$8,402,484 ",$0 ,"$25,304,979 ","$7,463,151 ","$137,000,000 ","$25,243,311 ","$7,549,634 ",$0 ,"$19,517,509 ","$11,123,966 ",$0 ,"$15,329,083 ","$17,459,344 ",$0 ,"$35,726,829 ","$6,554,392 ",$0 ,"$420,331 ","$30,578,254 ",$0 ,"$2,830,514 ","$482,544 ",$0 ,"$25,167,230 ",$0 
Azerbaijan,,,,,,,,,,$0 ,"$4,106,339 ","$53,000 ",$0 ,"$2,896,200 ","$2,027,000 ",$0 ,"$9,276,011 ","$1,671,000 ",$0 ,"$13,429,094 ","$628,000 ",$0 ,"$12,540,201 ","$4,855,000 ",$0 ,"$14,587,780 ","$9,876,624 ",$0 ,"$5,482,480 ","$8,615,000 ",$0 ,"$7,273,122 ","$4,325,824 ",$0 ,"$7,210,511 ","$2,980,759 ",$0 ,"$10,803,007 ","$1,346,976 ",$0 ,"$108,266,202 ","$614,500 ",$0 ,"$8,360,415 ","$542,904 ",$0 ,"$6,647,836 ","$4,277,000 ",$0 ,"$4,660,000 ","$2,220,000 ",$0 ,"$40,600 ","$2,264,125 ",$0 ,"$129,900 ",$0 ,$0 ,"$617,401 ",$0 
Bahamas,$0 ,"$137,783 ",$0 ,$0 ,"$38,170 ","$21,000 ",$0 ,"$199,874 ","$13,000 ",$0 ,"$951,934 ",$0 ,$0 ,"$4,170,934 ","$51,000 ",$0 ,"$30,506 ",$0 ,$0 ,"$289,904 ",$0 ,$0 ,"$1,496,391 ","$6,000 ",$0 ,"$1,260,709 ","$16,892,000 ",$0 ,"$412,178 ","$253,958 ",$0 ,"$282,762 ","$179,211 ",$0 ,"$352,295 ","$193,086 ",$0 ,"$2,192,242 ","$254,301 ",$0 ,"$128,320 ","$239,000 ",$0 ,"$512,493 ","$972,896 ",$0 ,"$37,500,975 ","$951,461 ",$0 ,"$1,505,000 ","$121,000 ",$0 ,"$242,866 ","$173,560 ",$0 ,"$71,095 ","$11,486 ",$0 ,"$158,874 ",$0 
Bahrain,$0 ,"$38,246,027 ",$0 ,$0 ,"$117,869,291 ","$338,370,561 ",$0 ,"$148,075,350 ","$83,665,000 ",$0 ,"$133,773,657 ","$90,051,000 ",$0 ,"$96,323,699 ","$87,964,000 ",$0 ,"$63,946,427 ","$63,237,000 ",$0 ,"$153,164,224 ","$54,697,000 ",$0 ,"$216,416,558 ","$84,074,000 ",$0 ,"$216,821,960 ","$660,013,000 ","$74,000,000 ","$185,253,859 ","$151,504,734 ","$70,000,000 ","$321,716,662 ","$117,476,206 ","$53,000,000 ","$454,680,241 ","$59,400,336 ",$0 ,"$71,862,117 ","$97,396,280 ",$0 ,"$164,466,519 ","$93,777,100 ",$0 ,"$116,098,971 ","$65,937,097 ","$150,000,000 ","$124,266,118 ","$66,746,869 ","$9,068,395 ","$230,962,166 ","$53,085,473 ","$3,955,422,457 ","$130,817,954 ","$66,633,428 ","$1,412,570,442 ","$85,577,736 ","$26,433,079 ","$3,378,000,000 ","$47,155,693 ",$0 
Bangladesh,$0 ,"$1,579,694 ",$0 ,$0 ,"$2,442,792 ","$6,834,000 ",$0 ,"$6,938,416 ","$8,937,000 ",$0 ,"$59,801,883 ","$2,478,000 ",$0 ,"$6,633,727 ","$6,366,000 ",$0 ,"$2,572,977 ","$860,000 ",$0 ,"$27,327,494 ","$510,000 ",$0 ,"$62,917,719 ","$8,883,000 ",$0 ,"$11,410,150 ","$1,730,000 ",$0 ,"$4,506,445 ","$1,483,298 ",$0 ,"$5,434,902 ","$3,043,094 ",$0 ,"$11,709,071 ","$1,672,018 ","$180,000,000 ","$16,969,779 ","$2,036,305 ",$0 ,"$27,451,819 ","$7,564,014 ",$0 ,"$15,374,575 ","$8,542,617 ",$0 ,"$19,366,529 ","$5,487,358 ",$0 ,"$6,071,720 ","$3,478,640 ",$0 ,"$679,788 ","$8,141,534 ",$0 ,"$25,798,227 ","$3,812,111 ",$0 ,"$6,161,373 ",$0 
Barbados,$0 ,"$124,142 ",$0 ,$0 ,"$379,233 ","$181,000 ",$0 ,"$436,088 ","$18,000 ",$0 ,"$700,962 ","$1,000 ",$0 ,"$539,285 ","$468,000 ",$0 ,"$1,043,991 ","$16,000 ",$0 ,"$489,159 ",$0 ,$0 ,"$3,669,964 ",$0 ,$0 ,"$557,203 ","$121,500 ",$0 ,"$233,151 ","$293,420 ",$0 ,"$17,205,113 ","$182,114 ",$0 ,"$1,057,700 ","$185,362 ",$0 ,"$841,013 ","$293,849 ",$0 ,"$650,800 ","$94,800 ",$0 ,"$38,777 ","$3,940 ",$0 ,"$21,092,772 ","$5,490,193 ",$0 ,"$1,200,500 ","$18,000 ",$0 ,"$11,183 ","$40,183 ",$0 ,"$3,185 ","$2,143 ",$0 ,"$169,952 ",$0 
