country,ordered,weapon,weapon.des,year,years.delivered,delivered,comments
     ,6,Bell-47/OH-13,light helicopter,1950,1951,6,Bell-47D version
     ,14,LST-1,landing ship,1950,1950-1952,14,Second-hand
     ,6,M-7 105mm,self-propelled gun,1950,1950,6,Second-hand
     ,2,Brooklyn,cruiser,1951,1951,2,Second-hand but modernized before delivery; $7.8 m deal; Argentinian designation General Belgrano
     ,3,PBY-5A Catalina,MP aircraft,1953,1953,3,Second-hand
     ,15,S-51/H-5F,light helicopter,1953,1954,15,
     ,5,LVT-4,APC,1955,1955,5,Second-hand
     ,5,T-6 Texan,trainer aircraft,1955,1956,5,Second-hand; SNJ-5A version
     ,62,F4U Corsair,FGA aircraft,1956,1956-1958,62,Second-hand; 'MDAP' aid; F-4U-7 version; incl for use on aircraft carrier
    ,10,PBM-5A Mariner,MP aircraft,1956,1956,10,Second-hand
     ,90,T-34 Mentor,trainer aircraft,1956,1957-1965,90,Incl 65-75 assembled from kits in Argentina
     ,1,Cessna-310,light aircraft,1957,1957,1,
     ,20,F9F Panther,fighter aircraft,1957,1957-1958,20,Second-hand
    ,6,P-2E Neptune,ASW aircraft,1957,1959,6,Second-hand (UK aircraft returned to USA and transferred to Argentina)
     ,11,PA-18 Super Cup,light aircraft,1957,1957,11,L-21B version
     ,5,T-6 Texan,trainer aircraft,1957,1959,5,Second-hand; SNJ-5A version
     ,28,F-86 Sabre,fighter aircraft,1958,1960,28,Second-hand; 'MAP' aid
     ,5,S-55,helicopter,1958,1958,5,
     ,8,Hiller-12/OH-23 Raven,light helicopter,1959,1960,8,Hiller-12E/OH-23G version
    ,2,Balao,submarine,1960,1960,2,Second-hand; lease
     ,30,Bell-47/OH-13,light helicopter,1960,1960-1962,30,
     ,3,HU-16B Albatross,MP aircraft,1960,1961,3,Second-hand
     ,11,M-114 155mm,towed gun,1960,1961,11,Second-hand
     ,18,M-59 155mm,towed gun,1960,1961,18,Second-hand; no. could be 50
   ,6,S-2A Tracker,ASW aircraft,1960,1962,6,Second-hand
 ,12,S-55,helicopter,1960,1961,12,
     ,1,SH-34 Seabat,ASW helicopter,1960,1960,1,HSS-1 version
     ,4,SH-34 Seabat,ASW helicopter,1960,1962,4,Second-hand; HSS-1 (SH-34G) version
     ,52,T-28A Trojan,trainer aircraft,1960,1960,52,Second-hand; 'MAP' aid (6 more delivered for spare parts)
,10,Beech-18/C-45,light transport ac,1961,1962,10,Beech D-18S version
     ,2,F-9F Cougar,fighter aircraft,1961,1962,2,Second-hand
     ,3,Fletcher,destroyer,1961,1961,3,Second-hand; lease; Argentinian designation Brown
     ,2,Navajo/ATF,tug,1961,1961,2,Second-hand; aid; Argentinian designation Irigoyen
     ,50,M-30 107mm,mortar,1962,1963,50,
     ,6,PA-23 Aztec,light aircraft,1963,1964,6,
     ,50,A-4B Skyhawk,FGA aircraft,1965,1966-1970,50,Second-hand but modernized to A-4P before delivery; $8.7 m deal
     ,100,AIM-9B Sidewinder,SRAAM,1965,1966-1967,100,Probably second-hand; for A-4Q combat aircraft
     ,6,Bell-47/OH-13,light helicopter,1965,1966-1967,6,
     ,75,M-113,APC,1965,1967-1969,75,M-113A1 version; possibly incl some M-577A1 CP version
   ,5,PA-23-235 Apache,light transport ac,1965,1965,5,
     ,5,DC-6/C-118,transport aircraft,1966,1967,5,Second-hand; no. could be 6
     ,66,LA-318,petrol engine,1966,1967-1968,66,For 66 Grenadier APC from Switzerland
     ,6,P-2H Neptune,ASW aircraft,1966,1967,6,Second-hand
     ,3,C-130E Hercules,transport aircraft,1967,1968,3,
     ,16,Commander,light transport ac,1967,1968,16,Commander-500U version
     ,7,FH-1100,light helicopter,1967,1968,7,
   ,32,Bell-205/UH-1H,helicopter,1968,1969-1978,32,
     ,7,Bell-206/OH-58,light helicopter,1968,1970-1971,7,Bell-206A version
     ,4,PC-6 Turbo Porter,light transport ac,1968,1971,4,
     ,2,FH-1100,light helicopter,1969,1970,2,
     ,14,Hughes-500/OH-6A,light helicopter,1969,1969-1970,14,Hughes-500C or Hughes-500M version
     ,5,PA-31 Navajo,light transport ac,1969,1969,5,PA-31P version
     ,1,Ashland,AALS,1970,1970,1,Second-hand; Argentinian designation De Lasala; incl for use as depot ship
     ,3,C-130H Hercules,transport aircraft,1970,1971-1972,3,
     ,12,Cessna-180 Skywagon,light aircraft,1970,1971,12,U-17 (Cessna-185) version
   ,3,DC-6/C-118,transport aircraft,1970,1971,3,Second-hand
   ,2,Fletcher,destroyer,1970,1971,2,Second-hand; Argentinian designation Brown
   ,1,King Air,light transport ac,1970,1971,1,King Air-100 version
   ,55,M-113,APC,1970,1973,55,M-113A1 version; possibly incl some M-577A1 CP version
     ,7,Queen Air,light transport ac,1970,1971-1972,7,Queen Air-80 version
     ,16,A-4B Skyhawk,FGA aircraft,1971,1972,16,Second-hand but modernized to A-4Q before delivery
     ,1,GUPPY-1A,submarine,1971,1971,1,Second-hand; Argentine designation Santa F
     ,1,GUPPY-2,submarine,1971,1971,1,Second-hand; Argentine designation Santa Fé
     ,4,LSM,landing ship,1971,1971,4,Second-hand
     ,50,M-101A1 105mm,towed gun,1971,1973,50,Second-hand
     ,142,M-113,APC,1971,1971-1972,142,M-113A1 version; possibly incl some M-577A1 CP version
   ,4,SH-3D Sea King,ASW helicopter,1971,1972,4,S-61D-4 version
     ,5,Sotoyomo/ATA,tug,1971,1972,5,Second-hand; for use as OPV; Argentine designation Diaguita
     ,6,Hughes-500/OH-6A,light helicopter,1972,1974,6,For coast guard
     ,5,PA-31 Navajo,light transport ac,1972,1973-1975,5,No. delivered could be 6; for police
     ,2,S-58T,helicopter,1972,1973,2,
     ,2,Sumner FRAM-2,destroyer,1972,1972,2,Second-hand; Argentine designation Segui
     ,1,Gearing FRAM-2,destroyer,1973,1973,1,Second-hand; Argentine designation Comodoro Py
     ,3,L-188 Electra,transport aircraft,1973,1973,3,Second-hand
     ,30,Mk-37,ASW torpedo,1973,1974,30,Second-hand; for Type-209 (Salta) submarines
     ,4,Bell-47/OH-13,light helicopter,1974,1975,4,Second-hand; incl 2 OH-13s and 2 TH-13T versions
     ,1,Boeing-707,transport aircraft,1974,1975,1,
     ,2,C-130H Hercules,transport aircraft,1974,1975,2,
     ,9,Cessna-207,light aircraft,1974,1975-1978,9,
     ,2,King Air,light transport ac,1974,1975,2,
     ,1,Sumner FRAM-2,destroyer,1974,1974,1,Second-hand; originally 2 for spares only but 1 taken in Argentine service in 1977; Argentine designation Segui
     ,25,A-4C Skyhawk,FGA aircraft,1975,1976,25,Second-hand but modernized to A-4P before delivery
     ,2,Bell-212/UH-1N,helicopter,1975,1976,2,
     ,21,LVTP-7,APC,1975,1976-1977,21,For Marines; incl 1 and 1 ARV version
     ,1,Navajo/ATF,tug,1975,1975,1,Second-hand; aid; for use as OPV; Argentinian designation Irigoyen
    ,2,Sabreliner-60,light transport ac,1975,1977,2,For VIP transport; Sabreliner-75A version
    ,5,Cessna-172,trainer/light aircraft,1976,1976,5,No. delivered could be 6
    ,4,Learjet-35/36,light transport ac,1976,1977-1978,4,"For navigation systems control, survey and reconnaissance; Learjet-35A version"
