country,ordered,weapon,weapon.des,year,years.delivered,delivered,comments
    ,25,AAQ-33 Sniper,aircraft EO system,2017,,,For F-16V combat aircraft
     ,221,BGM-71F TOW-2B,anti-tank missile,2017,2018,221,"Incl 107 BGM-71-4B-RF TOW-2A, 22 BGM-71F Tow-2B Aero and 37 BGM-71FI-RF TOW-BB version"
    ,9,Cougar,APC,2017,2017,9,Second-hand; aid
     ,16,F-16V Viper,FGA aircraft,2017,,,$2.3 b deal; delivery planned 2023-2024
     ,14,AGM-114L HELLFIRE,anti-tank missile,2018,,,For AH-1Z combat helicopters
  ,12,AH-1Z Viper,combat helicopter,2018,2021,1,Delivery planned 2021-2022
  ,720,GMLRS,guided rocket,2018,2021,720,
  ,6,M-198 155mm,towed gun,2018,2019,6,Second-hand
  ,2,Swiftships-35,patrol craft,2018,2021,2,Bahraini designation Mashoor
  ,2,T-700,turboshaft,2018,,,Spares for AH-1Z combat helicopters
  ,56,WGU-59 APKWS,anti-tank missile/ASM,2018,,,APKWS-2 version; for AH-1Z combat helicopters
  ,50,AGM-88 HARM,ARM,2019,,,
     ,32,AIM-120D AMRAAM,BVRAAM,2019,,,
     ,32,AIM-9X Sidewinder,BVRAAM,2019,,,
     ,110,ATACMS Block-1A,SSM,2019,,,
 ,6,DB-110,aircraft recce system,2019,,,For F-16V combat aircraft
     ,36,MIM-104C PAC-2,SAM,2019,,,Patriot GEM-T version
     ,60,MIM-104F PAC-3,ABM,2019,,,
     ,2,Patriot Configuration-3,SAM/ABM system,2019,,,
     ,5,Cyclone,patrol craft,2021,,,Second-hand; delivery planned 2022
,,,,,,,
Bangladesh,,,,,,,
,2,Bell-407,light helicopter,2020,2021,2,Bell-408GXi version; from Canadian production line
     ,6,Bell-212/UH-1N,helicopter,1976,1977,6,
     ,4,Bell-212/UH-1N,helicopter,1980,1981,4,
     ,2,Bell-206L LongRanger,light helicopter,1981,1981,2,Incl for training
     ,50,M-101A1 105mm,towed gun,1981,1982,50,Second-hand; status uncertain
     ,4,Cessna-150/Cessna-152,trainer/light aircraft,1982,1982,4,A-152 version
     ,3,Bell-212/UH-1N,helicopter,1987,1988,3,
     ,4,TPS-43,air search radar,1990,1991-1992,4,Status uncertain
     ,2,LCU-1466,landing craft,1991,1992,2,Second-hand but modernized before delivery; Bangladeshi designation Shah Paran
     ,12,T-37B,trainer aircraft,1995,1995,12,Second-hand; aid
    ,1,Bell-206L LongRanger,light helicopter,1997,1997,1,For training; supplier uncertain; probably from Canadian production line
     ,4,C-130B Hercules,transport aircraft,1999,2000,4,Second-hand but modernized before delivery; $15 m deal
   ,4,TPE-331,turboprop,2011,2013,4,For 2 Do-228 MP aircraft from Germany
   ,1,Hamilton,OPV,2013,2013,1,Second-hand; aid (Bangladesh pays $8.8 m for overhaul and training); Bangladeshi designation Somudra Joy
    ,1,Hamilton,OPV,2014,2015,1,Second-hand; aid
   ,4,TPE-331,turboprop,2017,2021,2,For 2 Do-228 MP aircraft from Germany
   ,50,MaxxPro,APC,2018,2021,50,Second-hand but modernized before delivery; aid for Bangladesh UN peacekeeping forces in Mali
,,,,,,,
Barbados,,,,,,,
,1,Cessna-411,light transport ac,1984,1984,1,Cessna-402 or Cessna-421 version
,,,,,,,
Belgium,,,,,,,
,5,S-58/H-34,helicopter,1960,1961,5,HSS-1 version; from French production line; for SAR
     ,26,Adjutant,minesweeper,1952,1953-1956,26,'MAP' aid; incl 8 produced under licence in Belgium
     ,112,F-104G Starfighter,FGA aircraft,1960,1963-1965,112,BFR9 b deal; incl 99 produced under licence in Belgium; incl 12 TF-104G trainer version
     ,75,AIM-7E Sparrow,BVRAAM,1968,1978,75,For Wielingen frigates; RIM-7H Sea Sparrow (SAM) version; incl production of components in Belgium as part of 'NSSMS' progamme
   ,116,F-16A,FGA aircraft,1975,1979-1985,116,Incl production under licence in Belgium; incl 24 F-16B trainer version
    ,514,AIFV,IFV,1979,1982-1988,514,Incl production under licence in Belgium
     ,525,M-113,APC,1979,1982-1989,525,"M-113A1B version; incl ambulance, command post, anti-tank, ARV and AEV version; produced under licence in Belgium"
    ,75,AIM-7M Sparrow,BVRAAM,1983,1984-1985,75,For Wielingen frigates; RIM-7M Sea Sparrow (SAM) version; incl production of components in Belgium as part of 'NSSMS' progamme; possibly modernization of Belgian RIM-7H version to RIM-7M
     ,44,F-16A,FGA aircraft,1983,1988-1991,44,$625 m deal (offsets 80% incl production under licence in Belgium and production of components for all F-16s in Belgium)
     ,127,M-109A1 155mm,self-propelled gun,1983,1984-1985,127,$119 m deal (offsets 90% incl production of components in Belgium); M-109A2 version
    ,322,L-ATV,APV,2020,,,EUR135 m deal; incl production of components in Belgium; delivery planned from 2023
    ,7,DC-3/C-47 Skytrain,transport aircraft,1946,1950-1951,7,Second-hand
    ,50,M-4 Sherman,tank,1948,1950,50,Second-hand
    ,2,DC-4/C-54,transport aircraft,1949,1950,2,Second-hand; 'MAP' aid
    ,213,F-84 Thunderjet,FGA aircraft,1950,1951-1953,213,'MAP' aid; incl 21 F-84E and 192 F-84G version
    ,36,M-10,tank destroyer,1950,1950-1951,36,Second-hand
    ,200,M-24 Chaffee,light tank,1950,1951,200,Second-hand; 'MAP' aid
   ,50,M-3/M-5 Half-track,APC,1950,1950-1951,50,Second-hand
   ,18,C-119 Packet,transport aircraft,1951,1952,18,'MDAP' aid; C-119F version
   ,2,DC-4/C-54,transport aircraft,1951,1952,2,Second-hand
   ,22,M-101A1 105mm,towed gun,1951,1951-1952,22,Probably second-hand
   ,784,M-47 Patton,tank,1951,1952-1954,784,'MDAP' aid
   ,20,M-7 105mm,self-propelled gun,1951,1951,20,Second-hand
   ,157,PA-18 Super Cup,light aircraft,1951,1951-1960,157,'MDAP' aid
     ,38,T-33A Shooting Star,trainer aircraft,1951,1952-1956,38,
   ,22,C-119 Packet,transport aircraft,1952,1953-1954,22,'MDAP' aid
     ,432,M-26 Pershing,tank,1952,1952,432,Second-hand; 'MDAP' aid
     ,197,F-84F Thunderstreak,FGA aircraft,1953,1955-1958,197,Possibly incl some second-hand (but maximum only used few years); 'MDAP' aid
    ,5,Aggressive,minesweeper,1954,1955-1960,5,'MAP' aid; Belgian designation Artevelde
   ,14,M-115 203mm,towed gun,1954,1954,14,Probably second-hand
    ,24,RF-84F Thunderflash,reconnaissance ac,1954,1955-1958,24,'MDAP' aid
  ,50,M-30 107mm,mortar,1955,1956-1957,50,
     ,24,M-44A1 155mm,self-propelled gun,1955,1956,24,
     ,383,MIM-14 Nike Hercules,SAM,1955,1959-1964,383,'MAP' aid
     ,100,MIM-3 Nike Ajax,SAM,1955,1959,100,
    ,8,Nike Ajax/Hercules,SAM system,1955,1958-1962,8,For use with MIM-3 Nike Ajax and MIM-14 Nike Hercules missiles
    ,53,APG-40,combat ac radar,1956,1957-1958,53,For 54 CF-100 combat aircraft from Canada
   ,135,M-41 Walker Bulldog,light tank,1956,1956-1958,135,Possibly second-hand
   ,6,C-119 Packet,transport aircraft,1957,1958,6,Second-hand; 'MDAP' aid
    ,10,M-55 203mm,self-propelled gun,1957,1958,10,Second-hand
    ,750,AIM-9B Sidewinder,SRAAM,1958,1959-1965,750,"For CF-100, Hunter and F-104 combat aircraft; incl from FRG production line"
     ,2,DC-6/C-118,transport aircraft,1958,1958,2,Second-hand
     ,600,M-75,APC,1959,1960-1962,600,Second-hand; aid
     ,19,M-48 AVLB,ABL,1960,1961-1962,19,M-48A2 AVLB version
     ,4,MGR-1 Honest John,SSM launcher,1960,1962,4,Incl for use with US nuclear warheads (under US control)
     ,6,HAWK,SAM system,1962,1963-1964,6,
     ,2,HIPAR,air search radar,1962,1969-1977,2,For use with Nike Hercules SAM system
     ,41,M-109 155mm,self-propelled gun,1962,1963-1964,41,
     ,350,MIM-23A HAWK,SAM,1962,1963-1964,350,
     ,5,RF-84F Thunderflash,reconnaissance ac,1962,1963,5,Second-hand
     ,3,F-104G Starfighter,FGA aircraft,1964,1965,3,TF-104G version
     ,96,M-108 105mm,self-propelled gun,1964,1965-1966,96,Probably second-hand (but not more than few years old)
    ,11,M-110 203mm,self-propelled gun,1970,1972,11,Incl for use with US nuclear warheads (under US control)
    ,12,C-130H Hercules,transport aircraft,1971,1972-1973,12,
     ,100,M-167 Vulcan,AA gun,1971,1973-1974,100,
     ,4,Mk-29 IBPDMS,naval SAM system,1973,1978,4,For 4 Wielingen frigates produced in Belgium
     ,5,M-752 Lance TEL,SSM launcher,1975,1977-1978,5,Incl for use with US nuclear warheads (under US control)
     ,6,Merlin-3,light transport ac,1975,1976,6,Incl for military and government VIP transport; Merlin-3A version
    ,333,MIM-23B HAWK,SAM,1976,1976-1977,333,
     ,123,C-360,petrol engine,1977,1978-1981,123,For 123 BDX APC from Ireland
     ,6,I-HAWK,SAM system,1978,1980-1983,6,Belgian HAWK SAM systems rebuilt to I-HAWK
     ,1,TPS-59,air search radar,1979,1981,1,GE-592 version
     ,1,TPS-77,air search radar,1984,1985,1,
    ,545,AIM-9M Sidewinder,SRAAM,1988,1990-1995,545,$49 m deal
  ,65,Mk-46 Mod-5 NEARTIP,ASW torpedo,1988,1989-1990,65,$19 m deal
   ,224,BGM-71 TOW,anti-tank missile,1989,1992,224,BGM-71C ITOW version; for A-109HA helicopters
    ,92,APG-66,combat ac radar,1993,1996-2004,92,For 'Mid-Life Update' (MLU) modernization of 92 F-16A combat aircraft to F-16AM (F-16C) version
     ,72,AIM-120B AMRAAM,BVRAAM,1995,1998-1999,72,For F-16AM (modernized F-16A) combat aircraft
     ,50,AGM-65 Maverick,ASM,1997,1999,50,BFR580 m deal; AGM-65G version
     ,10,AGM-65 Maverick,ASM,1999,1999,10,Loan; for use against Yugoslavia in 1999 Kosovo War
     ,8,AAQ-13 LANTIRN,combat ac radar,2000,2002,8,For F-16AM (modernized F-16A) combat aircraft
     ,8,AAQ-14 LANTIRN,aircraft EO system,2000,2002,8,For F-16AM (modernized F-16A) combat aircraft
     ,562,BGM-71 TOW,anti-tank missile,2001,2002-2003,562,BGM-71E TOW-2A version
     ,300,JDAM,guided bomb,2004,2005-2006,300,
     ,8,AAQ-33 Sniper,aircraft EO system,2006,2007-2008,8,For F-16AM combat aircraft; PANTERA version
     ,242,C-9,diesel engine,2006,2008-2015,242,For 242 Piranha APC/IFV from Switzerland
     ,1,C-130E Hercules,transport aircraft,2007,2009,1,Second-hand (but modernized after delivery to C-130H version in Belgium)
    ,180,JDAM,guided bomb,2011,2012,180,
     ,5,AAQ-33 Sniper,aircraft EO system,2013,2015,5,$12 m deal
     ,33,AIM-9X Sidewinder,BVRAAM,2014,2016-2018,33,
     ,60,JDAM,guided bomb,2015,2016,60,
     ,263,JDAM,guided bomb,2016,2017-2018,263,
     ,4,F135-100,turbofan,2018,,,Spares for F-35A combat aircraft
     ,34,F-35A Lightning-2,FGA aircraft,2018,,,EUR3.8 b deal; delivery planned 2023-2030
     ,396,JDAM,guided bomb,2018,2019-2020,396,
     ,50,GBU-39 SDB,guided bomb,2019,2020,50,
     ,29,Mk-54 MAKO 324mm,ASW torpedo,2020,,,
     ,4,MQ-9 Reaper,UAV,2020,,,$189 m deal; MQ-9B SkyGuardian version; delivery planned by end-2024
     ,,RIM-162 ESSM Block-2,SAM,2020,,,
 ,4,RQ-21 Blackjack,UAV,2021,,,X-300 Integrator version; delivery planned 2022
,,,,,,,
Belize,,,,,,,
,1,Cessna-180 Skywagon,light aircraft,1995,1996,1,Cessna-182J version; supplier uncertain
,,,,,,,
Benin,,,,,,,
,1,Cessna-337/O-2,light aircraft,1970,1970,1,Cessna-337D version
,,,,,,,
Bhutan,,,,,,,
,15,6BT,diesel engine,2021,2021,15,For 15 First Win APC/APV from Thailand; designation uncertain (reported as 250-300hp Cummins diesel)
,,,,,,,
,,,,,,,
Bolivia,,,,,,,
,6,DC-3/C-47 Skytrain,transport aircraft,1948,1951,6,Second-hand; aid
    ,15,T-6 Texan,trainer aircraft,1953,1954,15,Second-hand; T-6G version; incl for combat role
     ,8,B-17G Fortress,bomber aircraft,1956,1958,8,Second-hand but modernized before delivery; incl for use as transport aircraft
     ,4,P-51D Mustang,fighter aircraft,1958,1959,4,Second-hand
     ,6,Cessna-310,light aircraft,1960,1964,6,'MAP' aid
     ,20,M-101A1 105mm,towed gun,1960,1961,20,Second-hand
     ,2,T-28A Trojan,trainer aircraft,1960,1961,2,Second-hand; 'MAP' aid
     ,6,DC-3/C-47 Skytrain,transport aircraft,1961,1962-1963,6,Second-hand
     ,6,Cessna-172,trainer/light aircraft,1964,1965,6,
      ,4,S-55,helicopter,1965,1965-1969,4,Second-hand; 'MAP' aid; H-19B version
     ,2,T-28A Trojan,trainer aircraft,1965,1965,2,Second-hand; 'MAP' aid
     ,3,Hiller-12/OH-23 Raven,light helicopter,1966,1967,3,
     ,10,P-51D Mustang,fighter aircraft,1966,1967-1968,10,Second-hand but modernized before delivery; incl 1 TF-51 version
     ,6,T-28A Trojan,trainer aircraft,1966,1967,6,Second-hand; 'MAP' aid
 ,1,T-28D,trainer/combat aircraft,1966,1966,1,Second-hand; 'MAP' aid
     ,2,Cessna-411,light transport ac,1967,1968,2,Incl 1 for aerial survey
     ,39,Cessna-U206,light aircraft,1967,1969-1981,39,
     ,12,Hughes-500/OH-6A,light helicopter,1967,1968,12,
     ,5,Cessna-180 Skywagon,light aircraft,1968,1968,5,Cessna-185F version
     ,2,Cessna-310,light aircraft,1968,1968,2,'MAP' aid
     ,6,Cessna-172,trainer/light aircraft,1970,1972,6,T-41D version
     ,10,Commando V-100,APC,1970,1970,10,
     ,1,Cessna-180 Skywagon,light aircraft,1971,1971,1,Cessna-185F version
     ,44,M-113,APC,1971,1972,44,M-113A1 version; no. could be 50
     ,6,Cessna-180 Skywagon,light aircraft,1972,1973,6,Cessna-A185E version
     ,2,Cessna-210 Centurion,light aircraft,1972,1973,2,Cessna-210L version
     ,1,Cessna-411,light transport ac,1972,1973,1,Cessna-414 version
     ,3,F-86 Sabre,fighter aircraft,1972,1973,3,Second-hand
     ,3,Bell-205/UH-1H,helicopter,1973,1973-1974,3,
     ,8,Cessna-180 Skywagon,light aircraft,1973,1974,8,Cessna-185F version
     ,1,King Air,light transport ac,1973,1973,1,King Air C-90 version
     ,1,Cessna-411,light transport ac,1974,1976,1,Possibly for police; Cessna-421B version
     ,4,King Air,light transport ac,1974,1976,4,Kinng Air-200C version
     ,2,PC-6 Turbo Porter,light transport ac,1974,1975,2,
     ,2,Learjet-25,light transport ac,1975,1976-1978,2,For aerial survey
     ,3,Bell-205/UH-1H,helicopter,1979,1979,3,Second-hand; AB-205A-A1 version
     ,12,Cessna-150/Cessna-152,trainer/light aircraft,1980,1981,12,Aid; A-152 version
     ,5,M-578,ARV,1980,1981,5,
     ,4,PA-32 Cherokee,light aircraft,1980,1982,4,
     ,4,PA-34 Seneca,light transport ac,1980,1981,4,Possibly incl EMB-810D (PA-34-220T) version from Brazilian production line
    ,1,Cessna-210 Centurion,light aircraft,1981,1982,1,
    ,6,Bell-205/UH-1H,helicopter,1985,1985,6,Second-hand
  ,6,Bell-205/UH-1H,helicopter,1986,1986,6,Second-hand
     ,10,Bell-205/UH-1H,helicopter,1987,1988,10,Second-hand
     ,7,C-130B Hercules,transport aircraft,1988,1988-1989,7,Second-hand but modernized before delivery; C-130A version
   ,6,BT-67,transport aircraft,1990,1991-1993,6,Probably Bolivian C-47 transport aircraft rebuilt to BT-67 in USA
   ,6,Bell-205/UH-1H,helicopter,1991,1991,6,Second-hand; $4.9 m 5-year lease; for anti-narcotics operations
  ,1,C-130B Hercules,transport aircraft,1993,1994,1,Second-hand; aid
  ,3,C-130B Hercules,transport aircraft,1999,1999-2000,3,Second-hand; aid; possibly for spare parts only
   ,6,R-44,light helicopter,2010,2011-2012,6,For training
   ,2,Foxtrot-4,light aircraft,2012,2013,2,For training; assembled from kits in Bolivia
   ,1,Tango-2,light aircraft,2012,2013,1,Assembled from kit in Bolivia
     ,2,King Air,light transport ac,2013,2014,2,King Air-250 and King Air-350 versions
,,,,,,,
Bosnia-Herzegovina,,,,,,,
,15,Bell-205/UH-1H,helicopter,1996,1999,15,Second-hand; 'Train and Equip Program' aid; incl 2 UH-1V
     ,80,M-113,APC,1996,1996,80,Second-hand; 'Train and Equip Program' aid; M-113A2 version
    ,45,M-60A3 Patton-2,tank,1996,1996,45,Second-hand; 'Train and Equip Program' aid
     ,126,M-114 155mm,towed gun,1997,1997,126,Second-hand; 'Train and Equip Program' aid; M-114A2 version; possibly 10 for spares only
     ,20,HMMWV,APV,2017,2017-2020,20,Part of $9 m aid
     ,4,UH-1H Huey-2,helicopter,2019,2021,4,$39 m deal (incl $34 m 'FMF' aid); second-hand UH-1H rebuilt to UH-1 Huey-2 before delivery
,,,,,,,
Botswana,,,,,,,
,2,Cessna-150/Cessna-152,trainer/light aircraft,1978,1979,2,A-152 version
  ,1,TPS-63,air search radar,1985,1987,1,
     ,13,Commando V-150,APC,1986,1987,13,Incl 2 ARV version
     ,1,Commando V-150/90,armoured car,1986,1987,1,
     ,4,CT7,turboprop,1986,1987-1988,4,For 2 CN-235 transport aircraft from Spain
     ,5,Bell-412,helicopter,1988,1988-1990,5,From Canadian production line
     ,100,BGM-71 TOW,anti-tank missile,1989,1989,100,BGM-71C ITOW version; deal worth $8 m incl 4 launchers and 8 M-167A1 AA guns
     ,8,M-167 Vulcan,AA gun,1989,1989,8,Part of $8 m deal
     ,9,Cessna-337/O-2,light aircraft,1993,1993,9,Second-hand
     ,2,C-130B Hercules,transport aircraft,1995,1997,2,Second-hand; 'EDA' aid
     ,1,C-130B Hercules,transport aircraft,1999,2001,1,Second-hand but modernized before delivery
     ,4,CT7,turboprop,2008,2009-2010,4,For 2 CN-235 transport aircraft from Spain
     ,1,C-212,transport aircraft,2018,2018,1,Second-hand
     ,1,C-212,transport aircraft,2018,2019,1,Second-hand
,,,,,,,
Brazil,,,,,,,
,28,T-33A Shooting Star,trainer aircraft,1956,1956-1960,28,Second-hand; possibly incl some as 'MAP' aid
  ,6,EDO-610,ASW sonar,1970,1976-1980,6,For 6 Niteroi frigates from UK
  ,6,Cape,patrol craft,1968,1970-1971,6,Brazilian designation Piratini; aid
  ,3,LCU-1610,landing craft,1974,1978-1981,3,Brazilian designation Guarapari
  ,12,PA-34 Seneca,light transport ac,1979,1980-1981,12,Incl for VIP transport; Brazilian designation EMB-810 or U-7
   ,20,PA-34 Seneca,light transport ac,1981,1981-1984,20,Brazilian designation EMB-810C Cuesta or U-7
   ,35,PA-34 Seneca,light transport ac,1985,1985-1989,35,Brazilian designation EMB-810C Cuesta or U-7
   ,16,Mk-30 127mm,naval gun,1940,1951,16,For 4 Acre destroyers from UK
   ,200,T-6 Texan,trainer aircraft,1947,1954-1958,100,Second-hand
   ,2,Brooklyn,cruiser,1950,1951,2,Second-hand; Brazilian designation Barroso
     ,24,M-7 105mm,self-propelled gun,1950,1951,24,Second-hand
     ,3,Bell-47/OH-13,light helicopter,1952,1953,3,'MAP' aid; Bell-47E version
     ,7,B-17G Fortress,bomber aircraft,1953,1953-1955,7,Second-hand; SB-17G SAR version
     ,16,Mk-26 76mm,naval gun,1953,1955-1957,16,For 4 Barroso Pereira transport ships from Japan
     ,25,P-47D Thunderbolt,FGA aircraft,1953,1953,25,Second-hand; 'MDAP' aid
     ,12,C-82 Packet,transport aircraft,1954,1955,12,Second-hand
     ,100,M-101A1 105mm,towed gun,1954,1955-1956,100,Probably second-hand
     ,2,M-74,ARV,1954,1955,2,Second-hand
     ,10,Mk-26 76mm,naval gun,1954,1955,10,For 10 Imperial Marinheiro OPV/tugs from Netherlands
     ,4,S-55,helicopter,1955,1957,4,'MAP' aid
     ,28,B-26 Invader,bomber aircraft,1956,1957-1958,28,Second-hand but modernized beforedelivery; 'MDAP' aid; B-26B and B-26C versions
     ,8,O-1/L-19 Bird Dog,light aircraft,1956,1957,8,Second-hand; L-19A version
     ,5,Bell-47/OH-13,light helicopter,1957,1958,5,
     ,46,Bell-47/OH-13,light helicopter,1957,1959-1968,46,OH-13G and OH-13H version
     ,2,Gato,submarine,1957,1957,2,Second-hand but modernized before delivery; 'MAP' aid; loan; Brazilian designation Humaita
    ,14,P-2E Neptune,ASW aircraft,1957,1958,14,Second-hand (UK aircraft returned to USA and transferred to Brazil); Brazilian designation P-15
     ,2,SPG-34/SPG-50,fire control radar,1957,1960,2,For modernization of 1 Colossus (Minas Gerais) aircraft carrier; for use with 40mm guns
     ,1,SPS-40,air search radar,1957,1960,1,For modernization of 1 Colossus (Minas Gerais) aircraft carrier
     ,37,F-80 Shooting Star,fighter aircraft,1958,1958-1960,37,Second-hand; 'MAP' aid; F-80C version
     ,4,Fletcher,destroyer,1958,1959-1961,4,Second-hand; 'MAP' aid; Brazilian designation Para
     ,14,HU-16B Albatross,MP aircraft,1958,1959,14,Second-hand
     ,10,M-59,APC,1958,1961,10,Second-hand
     ,15,DC-3/C-47 Skytrain,transport aircraft,1959,1959,15,Second-hand; for military airline CAN
     ,6,C-119 Packet,transport aircraft,1960,1962,6,Second-hand
     ,11,DC-4/C-54,transport aircraft,1960,1960-1961,11,Second-hand
    ,160,M-41 Walker Bulldog,light tank,1960,1960-1967,160,Second-hand
     ,6,SH-34 Seabat,ASW helicopter,1960,1961,6,Second-hand; 'MAP' aid; HSS-1 version
     ,4,YMS,minesweeper,1960,1960-1963,4,Second-hand; 'MAP' aid; Brazilian designation Javari
     ,1,ARB-1/ARL-1,support ship,1961,1962,1,Second-hand; loan until bought in 1967; Brazilian designation Belmonte
     ,11,S-2A Tracker,ASW aircraft,1961,1961,11,Brazilian designation P-16; 'MAP' aid
     ,6,C-119 Packet,transport aircraft,1962,1963,6,Second-hand; 'MAP' aid
     ,6,Model-300,light helicopter,1962,1963,6,Hughes-269A version
    ,1,O-1/L-19 Bird Dog,light aircraft,1962,1962,1,Second-hand; L-19A version
     ,10,T-28A Trojan,trainer aircraft,1962,1962,10,Second-hand but modernized to 7 T-28R-1 and 3 T-28R-2before delivery
     ,2,Balao,submarine,1963,1963,2,Second-hand; loan until bought in 1968
     ,18,Beech-18/C-45,light transport ac,1963,1963,18,
     ,2,EC-47,SIGINT aircraft,1963,1964-1966,2,Second-hand; 'MAP' aid
     ,145,M-101A1 105mm,towed gun,1963,1963-1965,145,Probably second-hand
     ,12,M-59,APC,1963,1965,12,Second-hand
     ,9,O-1/L-19 Bird Dog,light aircraft,1963,1963,9,Second-hand; L-19E version
     ,14,Beech-18/C-45,light transport ac,1964,1964,14,Deal worth $3 m
     ,5,C-130E Hercules,transport aircraft,1964,1965,5,$20 m deal
     ,6,T-33A Shooting Star,trainer aircraft,1964,1965,6,Second-hand; 'MAP' aid
     ,5,Beech-18/C-45,light transport ac,1965,1966,5,$0.7 m deal
     ,2,O-1/L-19 Bird Dog,light aircraft,1965,1965,2,Second-hand; L-19A version
     ,14,Bell-205/UH-1D,helicopter,1966,1967-1968,14,
     ,2,Bell-47/OH-13,light helicopter,1966,1967,2,Bell-47G version; possibly KH-4 from Japanese production line
     ,1,C-130E Hercules,transport aircraft,1966,1966,1,
     ,20,Cessna-210 Centurion,light aircraft,1966,1966,20,
     ,40,M-113,APC,1966,1968,40,Possibly Second-hand
    ,100,Mk-44,ASW torpedo,1966,1967-1968,100,
     ,24,T-33A Shooting Star,trainer aircraft,1966,1966-1967,24,Second-hand; 'MAP' aid; AT-33 armed version
     ,5,C-130E Hercules,transport aircraft,1967,1967,5,Deal worth $15 m
    ,3,Fletcher,destroyer,1967,1967-1972,3,Second-hand; incl 2 on loan until bought in 1973; Brazilian designation Para
     ,9,Model-300,light helicopter,1967,1969,9,
    ,40,T-37B,trainer aircraft,1967,1967-1968,40,T-37C version
     ,7,Bell-206/OH-58,light helicopter,1968,1968-1969,7,Brazilian designations VH-4 and OH-4; Bell-206A version
     ,6,FH-1100,light helicopter,1968,1968-1969,6,Brazilian designation UH-4
     ,4,SH-3D Sea King,ASW helicopter,1968,1970,4,S-61D-4 version; Brazilian designation SH-3A
     ,25,T-37B,trainer aircraft,1968,1969-1970,25,$6 m deal; T-37C version
     ,3,B-26 Invader,bomber aircraft,1969,1969,3,Second-hand; B-26C version
     ,22,Bell-205/UH-1H,helicopter,1970,1972-1974,22,
     ,1,LST-1,landing ship,1970,1971,1,Second-hand; loan until bought 1971; Brazilian designation D'Avila
    ,72,M-108 105mm,self-propelled gun,1970,1971-1972,72,Second-hand
     ,150,Mk-46,ASW torpedo,1970,1977-1980,150,For Niteroi frigates (probably incl for Ikara ASW missiles)
     ,150,M-114 155mm,towed gun,1971,1972-1976,150,Second-hand
   ,129,M-41 Walker Bulldog,light tank,1971,1971,129,Second-hand; $8.9 m deal
  ,2,S-61/H-3A Sea King,transport helicopter,1971,1973,2,Brazilian designation SH-3A
    ,1,De Soto County,landing ship,1972,1973,1,Second-hand; Brazilian designation De Caxias Class
 ,5,GUPPY-2,submarine,1972,1972-1973,5,Second-hand; Brazilian designation Guanabara
   ,2,GUPPY-3,submarine,1972,1973,2,Second-hand; Brazilian designation Amazonas
   ,19,M-102 105mm,towed gun,1972,1973-1974,19,
     ,500,M-113,APC,1972,1972-1973,500,M-113A1 version
     ,32,M-41 Walker Bulldog,light tank,1972,1972,32,Second-hand; deal worth $1.5 m
     ,14,M-578,ARV,1972,1973,14,
     ,8,S-2E Tracker,ASW aircraft,1972,1976,8,Second-hand but modernized befire delivery; Brazilian designation P-16E
     ,3,Sumner,destroyer,1972,1972-1973,3,Second-hand; Brazilian designation Mato Grosso
     ,2,Sumner FRAM-2,destroyer,1972,1973,2,Second-hand; Brazilian designation Mato Grosso
     ,225,AIM-9B Sidewinder,SRAAM,1973,1975-1976,225,For F-5E combat aircraft
     ,18,Bell-206/OH-58,light helicopter,1973,1975,18,Bell-206B version; Brazilian designation IH-6A
     ,6,F-5A Freedom Fighter,FGA aircraft,1973,1975,6,Part of $111 m 'Operation Tigre' deal; F-5B trainer/combat version
     ,36,F-5E Tiger-2,FGA aircraft,1973,1975-1976,36,Part of $111 m 'Operation Tigre' deal
     ,2,Gearing FRAM-1,destroyer,1973,1974,2,Second-hand; Brazilian designation Diaz
     ,4,Hughes-500/OH-6A,light helicopter,1973,1975,4,
     ,1,Penguin/ASR,rescue ship,1973,1973,1,Second-hand; Brazilian designation Moutinho
    ,4,Bell-205/UH-1H,helicopter,1974,1975,4,No. delivered could be up to 14
    ,3,C-130H Hercules,transport aircraft,1974,1975,3,
    ,6,M-101A1 105mm,towed gun,1974,1975,6,Second-hand
    ,67,M-113,APC,1976,1976,67,Second-hand; M-113A1 version
    ,50,M-41 Walker Bulldog,light tank,1976,1976,50,Second-hand
    ,2,KC-130H Hercules,tanker/transport ac,1977,1978,2,
    ,4,LM-2500,gas turbine,1981,1989-1994,4,For 4 Inhama frigates produced in Brazil
    ,4,Air refuel system,air refuel system,1985,1985-1986,4,For $24 m modification of 4 Boeing-707 transport aircraft to KC-137 tanker/transport airacrft
    ,16,Bell-206/OH-58,light helicopter,1985,1986,16,Deal worth $10.6 m; Bell-206B version; Brazilian designation IH-6B
     ,3,C-130H Hercules,transport aircraft,1987,1987,3,Deal worth $50 m
     ,3,Cessna-208 Caravan,light transport ac,1987,1987-1988,3,Brazilian designation C-98
     ,3,Learjet-35/36,light transport ac,1987,1987,3,For survey; Learjet-35A version; Brazilian designation R-35A
 ,2,TPE-331,turboprop,1987,1989,2,For modernization of 1 S-2E ASW/MP aicraft to S-2T version; modernization of 7 more S-2E cancelled
     ,26,F-5E Tiger-2,FGA aircraft,1988,1988-1989,26,Second-hand; $67 m deal; incl 4 F-5F
     ,6,APS-705,MP aircraft radar,1989,1991,6,For modernization of 6 SH-3D helicopters
     ,5,Cessna-208 Caravan,light transport ac,1989,1989-1990,5,Brazilian designation C-98
